"obs","fecha","n","tavg","prcp","dia","tipo_dia"
"1","2023-01-01",74642,22.8,0,"domingo","Fin de semana"
"2","2023-01-02",108794,22.7,9.9,"lunes","Lunes a viernes"
"3","2023-01-03",114959,25.7,0,"martes","Lunes a viernes"
"4","2023-01-04",117394,23.8,0,"miércoles","Lunes a viernes"
"5","2023-01-05",120350,24,0,"jueves","Lunes a viernes"
"6","2023-01-06",118283,26.3,0,"viernes","Lunes a viernes"
"7","2023-01-07",94076,26.1,0,"sábado","Fin de semana"
"8","2023-01-08",92560,25.7,0,"domingo","Fin de semana"
"9","2023-01-09",118142,25.3,0,"lunes","Lunes a viernes"
"10","2023-01-10",119916,25.4,0,"martes","Lunes a viernes"
"11","2023-01-11",120939,25.8,0,"miércoles","Lunes a viernes"
"12","2023-01-12",126514,23.6,0,"jueves","Lunes a viernes"
"13","2023-01-13",122459,25.9,0,"viernes","Lunes a viernes"
"14","2023-01-14",97825,26,0,"sábado","Fin de semana"
"15","2023-01-15",95381,27.3,0,"domingo","Fin de semana"
"16","2023-01-16",119623,27.9,0,"lunes","Lunes a viernes"
"17","2023-01-17",118654,28.3,0,"martes","Lunes a viernes"
"18","2023-01-18",119748,25.6,0,"miércoles","Lunes a viernes"
"19","2023-01-19",121885,26.4,0,"jueves","Lunes a viernes"
"20","2023-01-20",115121,26.2,0.3,"viernes","Lunes a viernes"
"21","2023-01-21",93157,25.7,16,"sábado","Fin de semana"
"22","2023-01-22",94484,28,7.9,"domingo","Fin de semana"
"23","2023-01-23",118691,26.2,0,"lunes","Lunes a viernes"
"24","2023-01-24",118186,27.6,2,"martes","Lunes a viernes"
"25","2023-01-25",121207,26.9,0,"miércoles","Lunes a viernes"
"26","2023-01-26",124058,26.9,0,"jueves","Lunes a viernes"
"27","2023-01-27",114261,25.1,17,"viernes","Lunes a viernes"
"28","2023-01-28",95487,25.3,0,"sábado","Fin de semana"
"29","2023-01-29",98060,25.4,0,"domingo","Fin de semana"
"30","2023-01-30",120384,24.3,0,"lunes","Lunes a viernes"
"31","2023-01-31",125220,25.6,0.2,"martes","Lunes a viernes"
"32","2023-02-01",127126,24.9,0,"miércoles","Lunes a viernes"
"33","2023-02-02",127772,24.2,14.2,"jueves","Lunes a viernes"
"34","2023-02-03",126526,23.2,7.1,"viernes","Lunes a viernes"
"35","2023-02-04",105183,23.4,5.1,"sábado","Fin de semana"
"36","2023-02-05",103598,23.8,0,"domingo","Fin de semana"
"37","2023-02-06",124436,26.7,0,"lunes","Lunes a viernes"
"38","2023-02-07",119747,27.4,0,"martes","Lunes a viernes"
"39","2023-02-08",127764,27.4,0,"miércoles","Lunes a viernes"
"40","2023-02-09",129709,26.9,0,"jueves","Lunes a viernes"
"41","2023-02-10",129590,28.8,0,"viernes","Lunes a viernes"
"42","2023-02-11",102803,30.6,0,"sábado","Fin de semana"
"43","2023-02-12",101175,31.3,0,"domingo","Fin de semana"
